,video_id,video_title,channel_name
81,t9c7aheZxls,Your kids might live on Mars. Here's how they'll survive | Stephen Petranek,TED
82,95ovIJ3dsNk,How childhood trauma affects health across a lifetime | Nadine Burke Harris,TED
83,aR5N2Jl8k14,The incredible inventions of intuitive AI | Maurice Conti,TED
84,VO6XEQIsCoM,The paradox of choice | Barry Schwartz,TED
85,bNpx7gpSqbY,The single biggest reason why start-ups succeed | Bill Gross,TED
86,ziGD7vQOwl8,The unheard story of David and Goliath | Malcolm Gladwell,TED
87,_X0mgOOSpLU,The power of believing that you can improve | Carol Dweck,TED
88,YrtANPtnhyg,The thrilling potential of SixthSense technology | Pranav Mistry,TED
89,SjSHVDfXHQ4,The magic of Fibonacci numbers | Arthur Benjamin,TED
90,1X7fZoDs9KU,Which country does the most good for the world? | Simon Anholt,TED
91,wzkFoetp-_M,What it's like to be a Muslim in America | Dalia Mogahed,TED
92,o8NPllzkFhE,The mind behind Linux | Linus Torvalds,TED
93,pnv5iKB2hl4,Why city flags may be the worst-designed thing you've never noticed | Roman Mars,TED
94,WZWRhLW7Y8w,What if a US presidential candidate refuses to concede after an election? | Van Jones,TED
95,6kH-uYwt0qs,An ultra-low-cost college degree | Shai Reshef,TED
96,Pl8OlkkwRpc,How the blockchain is changing money and business | Don Tapscott,TED
97,XI5frPV58tY,6 ways mushrooms can save the world | Paul Stamets,TED
98,86x-u-tz0MA,Your elusive creative genius | Elizabeth Gilbert,TED
99,46w99bZ3W_M,The mad scientist of music | Mark Applebaum,TED
100,F2hc2FLOdhI,How to practice emotional first aid | Guy Winch,TED
101,DTcJmIbn5nw,"""Everything happens for a reason"" -- and other lies I've loved | Kate Bowler",TED
102,qzR62JJCMBQ,All it takes is 10 mindful minutes | Andy Puddicombe,TED
103,yQqthbvYE8M,The War in Ukraine Could Change Everything | Yuval Noah Harari | TED,TED
104,RmXiItk49Gw,Did you hear the one about the Iranian-American? | Maz Jobrani,TED
105,JaF-fq2Zn7I,Innovating to zero! | Bill Gates,TED
